,model,run_type,accuracy,average precision,balanced accuracy,AUROC
0,Perceptron,train,0.897359471129963,0.2917047180659852,0.5408421305682535,0.6895045442771249
1,Perceptron,test,0.8993504012227742,0.30439114240423903,0.5433747743147935,0.6771813878525226
2,Perceptron,train,0.8980473078833735,0.29617615447302614,0.5401972590707043,0.6871266241114131
3,Perceptron,test,0.8960641956438671,0.28507632015022005,0.5377328748373682,0.6872929463184476
4,Perceptron,train,0.8977798158126027,0.2987309323629508,0.5489187352829773,0.6926987654812977
5,Perceptron,test,0.896217042414979,0.2710174199617841,0.5438406008839786,0.6662960251721666
6,Perceptron,train,0.8974550040123811,0.29579616011731896,0.5427965322667984,0.6911495133577323
7,Perceptron,test,0.8981276270538785,0.28597449456805996,0.5445924748016893,0.6779585446649093
8,Perceptron,train,0.8976651763537009,0.2958999363481156,0.5463991989917657,0.6916583920169279
9,Perceptron,test,0.8955292319449751,0.27833013753318,0.5393353551447,0.6770785030803915
10,Perceptron,train,0.8981237341893079,0.29935009636071364,0.5425370039199885,0.687839590041688
11,Perceptron,test,0.8972105464272068,0.27487094218153396,0.5402759280390993,0.68546817953931
12,Perceptron,train,0.8976842829301845,0.29557030864502376,0.537063523757285,0.6904291137724058
13,Perceptron,test,0.8984333205961024,0.2884687437374106,0.5384243097185355,0.663521058313674
14,Perceptron,train,0.8967671672589705,0.29216101599630245,0.5465304564304175,0.6918141970450244
15,Perceptron,test,0.8972105464272068,0.2892322134694715,0.5453472707084439,0.6758444702126286
16,Perceptron,train,0.8977224960831518,0.29504010645343826,0.5387482382929388,0.6876388294657725
17,Perceptron,test,0.8980512036683225,0.29179507020184003,0.540746214486299,0.6803073009740989
18,Perceptron,train,0.8980473078833735,0.2987811863370896,0.544078376522946,0.6909135928233973
19,Perceptron,test,0.8960641956438671,0.2766220943870491,0.53551416241953,0.6745126583641168
20,FFNN_1,train,0.915376972754022,0.6535218800528491,0.6322671396408488,0.9208123380623987
21,FFNN_1,test,0.8933893771494077,0.2615531166793545,0.5574727562968864,0.6477803033332206
22,FFNN_1,train,0.9138675532118155,0.6588043192665427,0.6171655233443828,0.9176196120453071
